2023-11-07 06:46:23.886989  ||  total files (26) in <<G:/Shared drives/final learning machine/logs/>>
outcome,snow,rain,sunny,sand,hail,fog,grass,mist,electric,psychic,stealthrock,spikes,toxicspikes,stickyweb,reflect,lightscreen,aurora,
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
1,||NO,WE,AT,H,E,R||,||NO,FIELD,TERR,AIN||,0,Spikes<1>,0,0,0,0,0,    >>>>  LT101LK Chris v LT101LK Stardust
